ID,Name,Genre,Cast,Age
232,A Kind of Murder,Crime|Drama|Thriller,Patrick Wilson| Jessica Biel| Haley Bennett| Vincent Kartheiser,13+
233,Apocalypto,Action|Adventure|Drama,Gerardo Taracena| Raoul Max Trujillo| Dalia Hernández|Rudy Youngblood,13+
234,Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,Tom Cruise| Rebecca Ferguson| Jeremy Renner| Simon Pegg,15+
235,The Huntsman: Winter's War,Action|Adventure|Drama,Chris Hemsworth| Jessica Chastain| Charlize Theron| Emily Blunt,13+
236,The Perks of Being a Wallflower,Drama|Romance,Logan Lerman| Emma Watson| Ezra Miller| Paul Rudd,13+
237,Jackie,Biography|Drama|History,Natalie Portman| Peter Sarsgaard| Greta Gerwig|Billy Crudup,13+
238,The Disappointments Room,Drama|Horror|Thriller,Kate Beckinsale| Mel Raido| Duncan Joiner| Lucas Till,13+
239,The Grand Budapest Hotel,Adventure|Comedy|Drama,Ralph Fiennes| F. Murray Abraham| Mathieu Amalric|Adrien Brody,13+
240,The Host,Action|Adventure|Romance,Saoirse Ronan| Max Irons| Jake Abel| Diane Kruger,13+
241,Fury,Action|Drama|War,Brad Pitt| Shia LaBeouf| Logan Lerman| Michael Peña,13+
242,Inside Out,Animation|Adventure|Comedy,Amy Poehler| Bill Hader| Lewis Black| Mindy Kaling,16+
243,Rock Dog,Animation|Adventure|Comedy,Luke Wilson| Eddie Izzard| J.K. Simmons| Lewis Black,15+
244,Terminator Genisys,Action|Adventure|Sci-Fi,Arnold Schwarzenegger| Jason Clarke| Emilia Clarke|Jai Courtney,13+
245,Percy Jackson & the Olympians: The Lightning Thief,Adventure|Family|Fantasy,Logan Lerman| Kevin McKidd| Steve Coogan|Brandon T. Jackson,13+
246,Les Misérables,Drama|Musical|Romance,Hugh Jackman| Russell Crowe| Anne Hathaway|Amanda Seyfried,13+
247,Children of Men,Drama|Sci-Fi|Thriller,Julianne Moore| Clive Owen| Chiwetel Ejiofor|Michael Caine,13+
248,20th Century Women,Comedy|Drama,Annette Bening| Elle Fanning| Greta Gerwig| Billy Crudup,16+
249,Spy,Action|Comedy|Crime,Melissa McCarthy| Rose Byrne| Jude Law| Jason Statham,13+
250,The Intouchables,Biography|Comedy|Drama,François Cluzet| Omar Sy| Anne Le Ny| Audrey Fleurot,18+
251,Bonjour Anne,Comedy|Drama|Romance,Diane Lane| Alec Baldwin| Arnaud Viard| Linda Gegusch,18+
252,Kynodontas,Drama|Thriller,Christos Stergioglou| Michele Valley| Angeliki Papoulia| Hristos Passalis,13+
253,Straight Outta Compton,Biography|Drama|History,O'Shea Jackson Jr.| Corey Hawkins| Jason Mitchell|Neil Brown Jr.,16+
254,The Amazing Spider-Man 2,Action|Adventure|Sci-Fi,Andrew Garfield| Emma Stone| Jamie Foxx| Paul Giamatti,16+
255,The Conjuring,Horror|Mystery|Thriller,Patrick Wilson| Vera Farmiga| Ron Livingston| Lili Taylor,15+
256,The Hangover,Comedy,Zach Galifianakis| Bradley Cooper| Justin Bartha| Ed Helms,18+
257,Battleship,Action|Adventure|Sci-Fi,Alexander Skarsgård| Brooklyn Decker| Liam Neeson|Rihanna,13+
258,Rise of the Planet of the Apes,Action|Drama|Sci-Fi,James Franco| Andy Serkis| Freida Pinto| Karin Konoval,18+
259,Lights Out,Horror,Teresa Palmer| Gabriel Bateman| Maria Bello|Billy Burke,18+
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Drama|Thriller,Richard Gere| Lior Ashkenazi| Michael Sheen|Charlotte Gainsbourg,16+
261,Birdman or (The Unexpected Virtue of Ignorance),Comedy|Drama|Romance,Michael Keaton| Zach Galifianakis|Edward Norton| Andrea Riseborough,18+
262,Black Swan,Drama|Thriller,Natalie Portman| Mila Kunis| Vincent Cassel|Winona Ryder,18+
263,Dear White People,Comedy|Drama,Tyler James Williams| Tessa Thompson| Kyle Gallner|Teyonah Parris,18+
264,Nymphomaniac: Vol. I,Drama,Charlotte Gainsbourg| Stellan Skarsgård| Stacy Martin| Shia LaBeouf,0+
265,Teenage Mutant Ninja Turtles: Out of the Shadows,Action|Adventure|Comedy,Megan Fox| Will Arnett| Tyler Perry| Laura Linney,18+
266,Knock Knock,Drama|Horror|Thriller,Keanu Reeves| Lorenza Izzo| Ana de Armas| Aaron Burns,18+
267,Dirty Grandpa,Comedy,Robert De Niro| Zac Efron| Zoey Deutch| Aubrey Plaza,13+
268,Cloud Atlas,Drama|Sci-Fi,Tom Hanks| Halle Berry| Hugh Grant| Hugo Weaving,16+
269,X-Men Origins: Wolverine,Action|Adventure|Sci-Fi,Hugh Jackman| Liev Schreiber| Ryan Reynolds| Danny Huston,16+
270,Satanic,Horror,Sarah Hyland| Steven Krueger| Justin Chon| Clara Mamet,18+
271,Skyfall,Action|Adventure|Thriller,Daniel Craig| Javier Bardem| Naomie Harris| Judi Dench,18+
272,The Hobbit: An Unexpected Journey,Adventure|Fantasy,Martin Freeman| Ian McKellen| Richard Armitage|Andy Serkis,18+
273,21 Jump Street,Action|Comedy|Crime,Jonah Hill| Channing Tatum| Ice Cube|Brie Larson,18+
274,Sing Street,Comedy|Drama|Music,Ferdia Walsh-Peelo| Aidan Gillen| Maria Doyle Kennedy| Jack Reynor,18+
275,Ballerina,Animation|Adventure|Comedy,Elle Fanning| Dane DeHaan| Carly Rae Jepsen| Maddie Ziegler,18+
276,Oblivion,Action|Adventure|Mystery,Tom Cruise| Morgan Freeman| Andrea Riseborough| Olga Kurylenko,18+
277,22 Jump Street,Action|Comedy|Crime,Channing Tatum| Jonah Hill| Ice Cube|Nick Offerman,18+
278,Zodiac,Crime|Drama|History,Jake Gyllenhaal| Robert Downey Jr.| Mark Ruffalo|Anthony Edwards,18+
279,Everybody Wants Some!!,Comedy,Blake Jenner| Tyler Hoechlin| Ryan Guzman|Zoey Deutch,18+
280,Iron Man Three,Action|Adventure|Sci-Fi,Robert Downey Jr.| Guy Pearce| Gwyneth Paltrow|Don Cheadle,18+
281,Now You See Me,Crime|Mystery|Thriller,Jesse Eisenberg| Common| Mark Ruffalo| Woody Harrelson,18+
282,Sherlock Holmes,Action|Adventure|Crime,Robert Downey Jr.| Jude Law| Rachel McAdams| Mark Strong,18+
283,Death Proof,Thriller,Kurt Russell| Zoë Bell| Rosario Dawson| Vanessa Ferlito,18+
284,The Danish Girl,Biography|Drama|Romance,Eddie Redmayne| Alicia Vikander| Amber Heard| Ben Whishaw,18+
285,Hercules,Action|Adventure,Dwayne Johnson| John Hurt| Ian McShane| Joseph Fiennes,18+
286,Sucker Punch,Action|Fantasy,Emily Browning| Vanessa Hudgens| Abbie Cornish|Jena Malone,18+
287,Keeping Up with the Joneses,Action|Comedy,Zach Galifianakis| Isla Fisher| Jon Hamm| Gal Gadot,18+
288,Jupiter Ascending,Action|Adventure|Sci-Fi,Channing Tatum| Mila Kunis|Eddie Redmayne| Sean Bean,18+
289,Masterminds,Action|Comedy|Crime,Zach Galifianakis| Kristen Wiig| Owen Wilson| Ross Kimball,18+
290,Iris,Thriller,Romain Duris| Charlotte Le Bon| Jalil Lespert| Camille Cottin,18+
291,Busanhaeng,Action|Drama|Horror,Yoo Gong| Soo-an Kim| Yu-mi Jung| Dong-seok Ma,18+
292,Pitch Perfect,Comedy|Music|Romance,Anna Kendrick| Brittany Snow| Rebel Wilson| Anna Camp,18+
293,Neighbors 2: Sorority Rising,Comedy,Seth Rogen| Rose Byrne| Zac Efron| Chloë Grace Moretz,18+
294,The Exception,Drama,Lily James| Jai Courtney| Christopher Plummer| Loïs van Wijk,18+
295,Man of Steel,Action|Adventure|Fantasy,Henry Cavill| Amy Adams| Michael Shannon| Diane Lane,18+
296,The Choice,Drama|Romance,Benjamin Walker| Teresa Palmer| Alexandra Daddario|Maggie Grace,18+
297,Ice Age: Collision Course,Animation|Adventure|Comedy,Ray Romano| Denis Leary| John Leguizamo| Chris Wedge,18+
298,The Devil Wears Prada,Comedy|Drama,Anne Hathaway| Meryl Streep| Adrian Grenier| Emily Blunt,18+
299,The Infiltrator,Biography|Crime|Drama,Bryan Cranston| John Leguizamo| Diane Kruger| Amy Ryan,18+
300,There Will Be Blood,Drama|History,Daniel Day-Lewis| Paul Dano| Ciarán Hinds|Martin Stringer,18+
301,The Equalizer,Action|Crime|Thriller,Denzel Washington| Marton Csokas| Chloë Grace Moretz| David Harbour,18+
302,Lone Survivor,Action|Biography|Drama,Mark Wahlberg| Taylor Kitsch| Emile Hirsch| Ben Foster,18+
303,The Cabin in the Woods,Horror,Kristen Connolly| Chris Hemsworth| Anna Hutchison|Fran Kranz,18+
304,The House Bunny,Comedy|Romance,Anna Faris| Colin Hanks| Emma Stone| Kat Dennings,18+
305,She's Out of My League,Comedy|Romance,Jay Baruchel| Alice Eve| T.J. Miller| Mike Vogel,18+
306,Inherent Vice,Comedy|Crime|Drama,Joaquin Phoenix| Josh Brolin| Owen Wilson|Katherine Waterston,18+
307,Alice Through the Looking Glass,Adventure|Family|Fantasy,Mia Wasikowska| Johnny Depp| Helena Bonham Carter| Anne Hathaway,18+
308,Vincent N Roxxy,Crime|Drama|Thriller,Emile Hirsch| Zoë Kravitz| Zoey Deutch|Emory Cohen,18+
309,The Fast and the Furious: Tokyo Drift,Action|Crime|Thriller,Lucas Black| Zachery Ty Bryan| Shad Moss| Damien Marzette,18+
310,How to Be Single,Comedy|Romance,Dakota Johnson| Rebel Wilson| Leslie Mann| Alison Brie,18+
311,The Blind Side,Biography|Drama|Sport,Quinton Aaron| Sandra Bullock| Tim McGraw|Jae Head,18+
312,La vie d'Adèle,Drama|Romance,Léa Seydoux| Adèle Exarchopoulos| Salim Kechiouche| Aurélien Recoing,18+
313,The Babadook,Drama|Horror,Essie Davis| Noah Wiseman| Daniel Henshall| Hayley McElhinney,18+
314,The Hobbit: The Battle of the Five Armies,Adventure|Fantasy,Ian McKellen| Martin Freeman| Richard Armitage|Cate Blanchett,18+
315,Harry Potter and the Order of the Phoenix,Adventure|Family|Fantasy,Daniel Radcliffe| Emma Watson| Rupert Grint| Brendan Gleeson,18+
316,Snowpiercer,Action|Drama|Sci-Fi,Chris Evans| Jamie Bell| Tilda Swinton| Ed Harris,18+
317,The 5th Wave,Action|Adventure|Sci-Fi,Chloë Grace Moretz| Matthew Zuk| Gabriela Lopez|Bailey Anne Borders,18+
318,The Stakelander,Action|Horror,Connor Paolo| Nick Damici| Laura Abramsen| A.C. Peterson,Age
319,The Visit,Comedy|Horror|Thriller,Olivia DeJonge| Ed Oxenbould| Deanna Dunagan| Peter McRobbie,
320,Fast Five,Action|Crime|Thriller,Vin Diesel| Paul Walker| Dwayne Johnson| Jordana Brewster,12+
321,Step Up,Crime|Drama|Music,Channing Tatum| Jenna Dewan Tatum| Damaine Radcliff| De'Shawn Washington,12+
322,Lovesong,Drama,Riley Keough| Jena Malone| Jessie Ok Gray| Cary Joji Fukunaga,12+
323,RocknRolla,Action|Crime|Thriller,Gerard Butler| Tom Wilkinson| Idris Elba| Thandie Newton,12+
324,In Time,Action|Sci-Fi|Thriller,Justin Timberlake| Amanda Seyfried| Cillian Murphy|Olivia Wilde,12+
325,The Social Network,Biography|Drama,Jesse Eisenberg| Andrew Garfield| Justin Timberlake|Rooney Mara,12+
326,The Last Witch Hunter,Action|Adventure|Fantasy,Vin Diesel| Rose Leslie| Elijah Wood| Ólafur Darri Ólafsson,12+
327,Victor Frankenstein,Drama|Horror|Sci-Fi,Daniel Radcliffe| James McAvoy| Jessica Brown Findlay| Andrew Scott,18+
328,A Street Cat Named Bob,Biography|Comedy|Drama,Luke Treadaway| Bob the Cat| Ruta Gedmintas| Joanne Froggatt,12+
329,Green Room,Crime|Horror|Thriller,Anton Yelchin| Imogen Poots| Alia Shawkat|Patrick Stewart,12+
330,Blackhat,Crime|Drama|Mystery,Chris Hemsworth| Viola Davis| Wei Tang| Leehom Wang,12+
331,Storks,Animation|Adventure|Comedy,Andy Samberg| Katie Crown|Kelsey Grammer| Jennifer Aniston,12+
332,American Sniper,Action|Biography|Drama,Bradley Cooper| Sienna Miller| Kyle Gallner| Cole Konis,12+
333,Dallas Buyers Club,Biography|Drama,Matthew McConaughey| Jennifer Garner| Jared Leto| Steve Zahn,12+
334,Lincoln,Biography|Drama|History,Daniel Day-Lewis| Sally Field| David Strathairn|Joseph Gordon-Levitt,12+
335,Rush,Action|Biography|Drama,Daniel Brühl| Chris Hemsworth| Olivia Wilde|Alexandra Maria Lara,12+
336,Before I Wake,Drama|Fantasy|Horror,Kate Bosworth| Thomas Jane| Jacob Tremblay|Annabeth Gish,12+
337,Silver Linings Playbook,Comedy|Drama|Romance,Bradley Cooper| Jennifer Lawrence| Robert De Niro| Jacki Weaver,12+
338,Tracktown,Drama|Sport,Alexi Pappas| Chase Offerle| Rachel Dratch| Andy Buckley,12+
339,The Fault in Our Stars,Drama|Romance,Shailene Woodley| Ansel Elgort| Nat Wolff| Laura Dern,12+
340,Blended,Comedy|Romance,Adam Sandler| Drew Barrymore| Wendi McLendon-Covey| Kevin Nealon,12+
341,Fast & Furious,Action|Crime|Thriller,Vin Diesel| Paul Walker| Michelle Rodriguez| Jordana Brewster,12+
342,Looper,Action|Crime|Drama,Joseph Gordon-Levitt| Bruce Willis| Emily Blunt| Paul Dano,12+
343,White House Down,Action|Drama|Thriller,Channing Tatum| Jamie Foxx| Maggie Gyllenhaal|Jason Clarke,12+
344,Pete's Dragon,Adventure|Family|Fantasy,Bryce Dallas Howard| Robert Redford| Oakes Fegley|Oona Laurence,12+
345,Spider-Man 3,Action|Adventure,Tobey Maguire| Kirsten Dunst| Topher Grace| Thomas Haden Church,12+
346,The Three Musketeers,Action|Adventure|Romance,Logan Lerman| Matthew Macfadyen| Ray Stevenson| Milla Jovovich,12+
347,Stardust,Adventure|Family|Fantasy,Charlie Cox| Claire Danes| Sienna Miller| Ian McKellen,12+
348,American Hustle,Crime|Drama,Christian Bale| Amy Adams| Bradley Cooper|Jennifer Lawrence,12+
349,Jennifer's Body,Comedy|Horror,Megan Fox| Amanda Seyfried| Adam Brody| Johnny Simmons,12+
350,Midnight in Paris,Comedy|Fantasy|Romance,Owen Wilson| Rachel McAdams| Kathy Bates| Kurt Fuller,12+
351,Lady Macbeth,Drama,Florence Pugh| Christopher Fairbank| Cosmo Jarvis| Naomi Ackie,12+
352,Joy,Drama,Jennifer Lawrence| Robert De Niro| Bradley Cooper| Edgar Ramírez,12+
353,The Dressmaker,Comedy|Drama,Kate Winslet| Judy Davis| Liam Hemsworth|Hugo Weaving,12+
354,Cafe Society,Comedy|Drama|Romance,Jesse Eisenberg| Kristen Stewart| Steve Carell| Blake Lively,12+
355,Insurgent,Adventure|Sci-Fi|Thriller,Shailene Woodley| Ansel Elgort| Theo James|Kate Winslet,12+
356,Seventh Son,Action|Adventure|Fantasy,Ben Barnes| Julianne Moore| Jeff Bridges| Alicia Vikander,12+
357,Demain tout commence,Comedy|Drama,Omar Sy| Clémence Poésy| Antoine Bertrand| Ashley Walters,12+
358,The Theory of Everything,Biography|Drama|Romance,Eddie Redmayne| Felicity Jones| Tom Prior| Sophie Perry,12+
359,This Is the End,Comedy|Fantasy,James Franco| Jonah Hill| Seth Rogen|Jay Baruchel,12+
360,About Time,Comedy|Drama|Fantasy,Domhnall Gleeson| Rachel McAdams| Bill Nighy|Lydia Wilson,12+
361,Step Brothers,Comedy,Will Ferrell| John C. Reilly| Mary Steenburgen|Richard Jenkins,12+
362,Clown,Horror|Thriller,Andy Powers| Laura Allen| Peter Stormare| Christian Distefano,12+
363,Star Trek Into Darkness,Action|Adventure|Sci-Fi,Chris Pine| Zachary Quinto| Zoe Saldana| Benedict Cumberbatch,12+
364,Zombieland,Adventure|Comedy|Horror,Jesse Eisenberg| Emma Stone| Woody Harrelson|Abigail Breslin,12+
365,"Hail, Caesar!",Comedy|Mystery,Josh Brolin| George Clooney| Alden Ehrenreich| Ralph Fiennes,12+
366,Slumdog Millionaire,Drama,Dev Patel| Freida Pinto| Saurabh Shukla| Anil Kapoor,12+
367,The Twilight Saga: Breaking Dawn - Part 2,Adventure|Drama|Fantasy,Kristen Stewart| Robert Pattinson| Taylor Lautner| Peter Facinelli,12+
368,American Wrestler: The Wizard,Drama|Sport,William Fichtner| Jon Voight| Lia Marie Johnson|Gabriel Basso,12+
369,The Amazing Spider-Man,Action|Adventure,Andrew Garfield| Emma Stone| Rhys Ifans| Irrfan Khan,12+
370,Ben-Hur,Action|Adventure|Drama,Jack Huston| Toby Kebbell| Rodrigo Santoro|Nazanin Boniadi,12+
371,Sleight,Action|Drama|Sci-Fi,Jacob Latimore| Seychelle Gabriel| Dulé Hill| Storm Reid,12+
372,The Maze Runner,Action|Mystery|Sci-Fi,Dylan O'Brien| Kaya Scodelario| Will Poulter| Thomas Brodie-Sangster,12+
373,Criminal,Action|Crime|Drama,Kevin Costner| Ryan Reynolds| Gal Gadot| Gary Oldman,12+
374,Wanted,Action|Crime|Fantasy,Angelina Jolie| James McAvoy| Morgan Freeman| Terence Stamp,12+
375,Florence Foster Jenkins,Biography|Comedy|Drama,Meryl Streep| Hugh Grant| Simon Helberg| Rebecca Ferguson,12+
376,Collide,Action|Crime|Thriller,Nicholas Hoult| Felicity Jones| Anthony Hopkins| Ben Kingsley,12+
377,Black Mass,Biography|Crime|Drama,Johnny Depp| Benedict Cumberbatch| Dakota Johnson| Joel Edgerton,12+
378,Creed,Drama|Sport,Michael B. Jordan| Sylvester Stallone| Tessa Thompson| Phylicia Rashad,12+
379,Swiss Army Man,Adventure|Comedy|Drama,Paul Dano| Daniel Radcliffe| Mary Elizabeth Winstead| Antonia Ribero,12+
380,The Expendables 3,Action|Adventure|Thriller,Sylvester Stallone| Jason Statham| Jet Li| Antonio Banderas,12+
381,What We Do in the Shadows,Comedy|Fantasy|Horror,Jemaine Clement| Taika Waititi|Cori Gonzalez-Macuer| Jonny Brugh,12+
382,Southpaw,Drama|Sport,Jake Gyllenhaal| Rachel McAdams| Oona Laurence|Forest Whitaker,12+
383,Hush,Horror|Thriller,John Gallagher Jr.| Kate Siegel| Michael Trucco|Samantha Sloyan,12+
384,Bridge of Spies,Drama|History|Thriller,Tom Hanks| Mark Rylance| Alan Alda| Amy Ryan,12+
385,The Lego Movie,Animation|Action|Adventure,Chris Pratt| Will Ferrell| Elizabeth Banks| Will Arnett,12+
386,Everest,Action|Adventure|Drama,Jason Clarke| Ang Phula Sherpa| Thomas M. Wright| Martin Henderson,12+
387,Pixels,Action|Comedy|Family,Adam Sandler| Kevin James| Michelle Monaghan|Peter Dinklage,12+
388,Robin Hood,Action|Adventure|Drama,Russell Crowe| Cate Blanchett| Matthew Macfadyen|Max von Sydow,12+
389,The Wolverine,Action|Adventure|Sci-Fi,Hugh Jackman| Will Yun Lee| Tao Okamoto| Rila Fukushima,12+
390,John Carter,Action|Adventure|Sci-Fi,Taylor Kitsch| Lynn Collins| Willem Dafoe|Samantha Morton,12+
391,Keanu,Action|Comedy,Keegan-Michael Key| Jordan Peele| Tiffany Haddish|Method Man,12+
392,The Gunman,Action|Crime|Drama,Sean Penn| Idris Elba| Jasmine Trinca| Javier Bardem,12+
393,Steve Jobs,Biography|Drama,Michael Fassbender| Kate Winslet| Seth Rogen| Jeff Daniels,12+
394,Whisky Galore,Comedy|Romance,Tim Pigott-Smith| Naomi Battrick| Ellie Kendrick|James Cosmo,12+
395,Grown Ups 2,Comedy,Adam Sandler| Kevin James| Chris Rock| David Spade,12+
396,The Age of Adaline,Drama|Fantasy|Romance,Blake Lively| Michiel Huisman| Harrison Ford|Kathy Baker,18+
397,The Incredible Hulk,Action|Adventure|Sci-Fi,Edward Norton| Liv Tyler| Tim Roth| William Hurt,18+
398,Couples Retreat,Comedy,Vince Vaughn| Malin Akerman| Jon Favreau| Jason Bateman,18+
399,Absolutely Anything,Comedy|Sci-Fi,Simon Pegg| Kate Beckinsale| Sanjeev Bhaskar| Rob Riggle,18+
400,Magic Mike,Comedy|Drama,Channing Tatum| Alex Pettyfer| Olivia Munn|Matthew McConaughey,18+
401,Minions,Animation|Action|Adventure,Sandra Bullock| Jon Hamm| Michael Keaton| Pierre Coffin,18+
402,The Black Room,Horror,Natasha Henstridge| Lukas Hassel| Lin Shaye|Dominique Swain,18+
403,Bronson,Action|Biography|Crime,Tom Hardy| Kelly Adams| Luing Andrews|Katy Barker,18+
404,Despicable Me,Animation|Adventure|Comedy,Steve Carell| Jason Segel| Russell Brand| Julie Andrews,18+
405,The Best of Me,Drama|Romance,James Marsden| Michelle Monaghan| Luke Bracey|Liana Liberato,18+
406,The Invitation,Drama|Mystery|Thriller,Logan Marshall-Green| Emayatzy Corinealdi| Michiel Huisman| Tammy Blanchard,18+
407,Zero Dark Thirty,Drama|History|Thriller,Jessica Chastain| Joel Edgerton| Chris Pratt| Mark Strong,18+
408,Tangled,Animation|Adventure|Comedy,Mandy Moore| Zachary Levi| Donna Murphy| Ron Perlman,18+
409,The Hunger Games: Mockingjay - Part 2,Action|Adventure|Sci-Fi,Jennifer Lawrence| Josh Hutcherson| Liam Hemsworth| Woody Harrelson,18+
410,Vacation,Adventure|Comedy,Ed Helms| Christina Applegate| Skyler Gisondo| Steele Stebbins,18+
411,Taken,Action|Thriller,Liam Neeson| Maggie Grace| Famke Janssen| Leland Orser,18+
412,Pitch Perfect 2,Comedy|Music,Anna Kendrick| Rebel Wilson| Hailee Steinfeld|Brittany Snow,18+
413,Monsters University,Animation|Adventure|Comedy,Billy Crystal| John Goodman| Steve Buscemi| Helen Mirren,18+
414,Elle,Crime|Drama|Thriller,Isabelle Huppert| Laurent Lafitte| Anne Consigny|Charles Berling,18+
415,Mechanic: Resurrection,Action|Adventure|Crime,Jason Statham| Jessica Alba| Tommy Lee Jones|Michelle Yeoh,18+
416,Tusk,Comedy|Drama|Horror,Justin Long| Michael Parks| Haley Joel Osment|Genesis Rodriguez,18+
417,The Headhunter's Calling,Drama,Alison Brie| Gerard Butler| Willem Dafoe| Gretchen Mol,18+
418,Atonement,Drama|Mystery|Romance,Keira Knightley| James McAvoy| Brenda Blethyn|Saoirse Ronan,18+
419,Harry Potter and the Deathly Hallows: Part 1,Adventure|Family|Fantasy,Daniel Radcliffe| Emma Watson| Rupert Grint| Bill Nighy,18+
420,Shame,Drama,Michael Fassbender| Carey Mulligan| James Badge Dale| Lucy Walters,18+
421,Hanna,Action|Drama|Thriller,Saoirse Ronan| Cate Blanchett| Eric Bana| Vicky Krieps,18+
422,The Babysitters,Drama,Lauren Birkell| Paul Borghese| Chira Cassel| Anthony Cirillo,18+
423,Pride and Prejudice and Zombies,Action|Horror|Romance,Lily James| Sam Riley| Jack Huston| Bella Heathcote,18+
424,300: Rise of an Empire,Action|Drama|Fantasy,Sullivan Stapleton| Eva Green| Lena Headey| Hans Matheson,18+
425,London Has Fallen,Action|Crime|Drama,Gerard Butler| Aaron Eckhart| Morgan Freeman|Angela Bassett,18+
426,The Curious Case of Benjamin Button,Drama|Fantasy|Romance,Brad Pitt| Cate Blanchett| Tilda Swinton| Julia Ormond,18+
427,Sin City: A Dame to Kill For,Action|Crime|Thriller,Mickey Rourke| Jessica Alba| Josh Brolin| Joseph Gordon-Levitt,18+
428,The Bourne Ultimatum,Action|Mystery|Thriller,Matt Damon| Edgar Ramírez| Joan Allen| Julia Stiles,18+
429,Srpski film,Horror|Mystery|Thriller,Srdjan 'Zika' Todorovic| Sergej Trifunovic|Jelena Gavrilovic| Slobodan Bestic,18+
430,The Purge: Election Year,Action|Horror|Sci-Fi,Frank Grillo| Elizabeth Mitchell| Mykelti Williamson| Joseph Julian Soria,18+
431,3 Idiots,Comedy|Drama,Aamir Khan| Madhavan| Mona Singh| Sharman Joshi,18+
432,Zoolander 2,Comedy,Ben Stiller| Owen Wilson| Penélope Cruz| Will Ferrell,18+
433,World War Z,Action|Adventure|Horror,Brad Pitt| Mireille Enos| Daniella Kertesz| James Badge Dale,18+
434,Mission: Impossible - Ghost Protocol,Action|Adventure|Thriller,Tom Cruise| Jeremy Renner| Simon Pegg| Paula Patton,18+
435,Let Me Make You a Martyr,Action|Crime|Drama,Marilyn Manson| Mark Boone Junior| Sam Quartin| Niko Nicotera,18+
436,Filth,Comedy|Crime|Drama,James McAvoy| Jamie Bell| Eddie Marsan| Imogen Poots,18+
437,The Longest Ride,Drama|Romance,Scott Eastwood| Britt Robertson| Alan Alda| Jack Huston,18+
438,The imposible,Drama|Thriller,Naomi Watts| Ewan McGregor| Tom Holland| Oaklee Pendergast,18+
439,Kick-Ass 2,Action|Comedy|Crime,Aaron Taylor-Johnson| Chloë Grace Moretz|Christopher Mintz-Plasse| Jim Carrey,18+
440,Folk Hero & Funny Guy,Comedy,Alex Karpovsky| Wyatt Russell| Meredith Hagner|Melanie Lynskey,18+
441,Oz the Great and Powerful,Adventure|Family|Fantasy,James Franco| Michelle Williams| Rachel Weisz| Mila Kunis,18+
442,Brooklyn,Drama|Romance,Saoirse Ronan| Emory Cohen| Domhnall Gleeson|Jim Broadbent,18+
443,Coraline,Animation|Family|Fantasy,Dakota Fanning| Teri Hatcher| John Hodgman| Jennifer Saunders,18+
444,Blue Valentine,Drama|Romance,Ryan Gosling| Michelle Williams| John Doman|Faith Wladyka,18+
445,The Thinning,Thriller,Logan Paul| Peyton List| Lia Marie Johnson|Calum Worthy,18+
446,Silent Hill,Adventure|Horror|Mystery,Radha Mitchell| Laurie Holden| Sean Bean|Deborah Kara Unger,18+
447,Dredd,Action|Sci-Fi,Karl Urban| Olivia Thirlby| Lena Headey| Rachel Wood,18+
448,Hunt for the Wilderpeople,Adventure|Comedy|Drama,Sam Neill| Julian Dennison| Rima Te Wiata| Rachel House,18+
449,Big Hero 6,Animation|Action|Adventure,Ryan Potter| Scott Adsit| Jamie Chung|T.J. Miller,18+
450,Carrie,Drama|Horror,Chloë Grace Moretz| Julianne Moore| Gabriella Wilde| Portia Doubleday,18+
451,Iron Man 2,Action|Adventure|Sci-Fi,Robert Downey Jr.| Mickey Rourke| Gwyneth Paltrow|Don Cheadle,18+
452,Demolition,Comedy|Drama,Jake Gyllenhaal| Naomi Watts| Chris Cooper|Judah Lewis,18+
453,Pandorum,Action|Horror|Mystery,Dennis Quaid| Ben Foster| Cam Gigandet| Antje Traue,18+
454,Olympus Has Fallen,Action|Thriller,Gerard Butler| Aaron Eckhart| Morgan Freeman|Angela Bassett,18+
455,I Am Number Four,Action|Adventure|Sci-Fi,Alex Pettyfer| Timothy Olyphant| Dianna Agron| Teresa Palmer,18+
456,Jagten,Drama,Mads Mikkelsen| Thomas Bo Larsen| Annika Wedderkopp| Lasse Fogelstrøm,18+
457,The Proposal,Comedy|Drama|Romance,Sandra Bullock| Ryan Reynolds| Mary Steenburgen|Craig T. Nelson,18+
458,Get Hard,Comedy|Crime,Will Ferrell| Kevin Hart| Alison Brie| T.I.,18+
459,Just Go with It,Comedy|Romance,Adam Sandler| Jennifer Aniston| Brooklyn Decker|Nicole Kidman,18+
460,Revolutionary Road,Drama|Romance,Leonardo DiCaprio| Kate Winslet| Christopher Fitzgerald| Jonathan Roumie,18+
461,The Town,Crime|Drama|Thriller,Ben Affleck| Rebecca Hall| Jon Hamm| Jeremy Renner,18+
462,The Boy,Horror|Mystery|Thriller,Lauren Cohan| Rupert Evans| James Russell| Jim Norton,18+
463,Denial,Biography|Drama,Rachel Weisz| Tom Wilkinson| Timothy Spall| Andrew Scott,18+
464,Predestination,Drama|Mystery|Sci-Fi,Ethan Hawke| Sarah Snook| Noah Taylor| Madeleine West,18+
465,Goosebumps,Adventure|Comedy|Family,Jack Black| Dylan Minnette| Odeya Rush| Ryan Lee,18+
466,Sherlock Holmes: A Game of Shadows,Action|Adventure|Crime,Robert Downey Jr.| Jude Law| Jared Harris| Rachel McAdams,18+
